records,,,,,,,,,,,,,,
4:8:2022 [anarchistposters] What Color is your Flag When it Burns? -fire-.png, Carceral Imagery: Flags  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Thin Blue Line TBL  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,
PNG image 248.png, Art: miscellaneous (11)  , Art: Posters  , Elements: miscellaneous (8)  , Elements: Water,,,,,,,,,,
2-3-Community-Reality-1024x780-1.jpg, Art: miscellaneous (11)  , Community: miscellaneous (3)  , Community: Safety  , Infrastructure/Needs: miscellaneous (10)  , World-building: miscellaneous (6),,,,,,,,,
2a3a8e83b3d9d33f9b4086e641c9153f.jpg, Art: miscellaneous (11)  , Community: miscellaneous (3)  , Protests/Marches: Megaphone  , Protests/Marches: miscellaneous  , Slogans: miscellaneous (7),,,,,,,,,
4c5fa3106944107ac2b8141189d6f655.jpg, Art: miscellaneous (11)  , Art: Posters  , Community: miscellaneous (3)  , Community: Safety  , World-building: miscellaneous (6),,,,,,,,,
7-Transitions-and-Alternatives.jpg, Community: Organizations  , Community: Organizations: MPD150  , Community: Safety  , Geography: Minneapolis,,,,,,,,,,
8-Comic.png, Art: miscellaneous (11)  , Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: MPD150  , RJ/TJ  , World-building: miscellaneous (6),,,,,,,,
9-Back-Cover.jpg, Art: miscellaneous (11)  , Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Community: Organizations: MPD150  , Elements: Earth  , Elements: Earth: Growth  , Elements: miscellaneous (8)  , Geography: Minneapolis,,,,,,
11-5-12 Border Art.jpg,,,,,,,,,,,,,,
11-20-13 Border fence Crosses.jpg, Art: Border Wall Art  , Art: Graffiti  , Art: miscellaneous (11),,,,,,,,,,,
24dakota-web1-master768-v2.jpg, Elements: Earth  , Elements: Earth: Animals: Horses  , Elements: Earth: Land Back/Pipelines  , Environment  , Protests/Marches: miscellaneous  , Violence: Police Violence,,,,,,,,
43_1F3.jpg,,,,,,,,,,,,,,
63AFDC7A-3C36-48A9-ACB6-0B68874DD59D.jpg, Art: miscellaneous (11)  , Slogans: BLM  , Slogans: BLM: Trayvon Martin  , Violence: Police Violence,,,,,,,,,,
173a020a-7958-2b15-53ae-d31ce1614447.jpg, Art: miscellaneous (11)  , Art: Posters  , Elements: Earth: Animals  , Elements: Earth: Animals: Birds  , Slogans: miscellaneous (7)  , Slogans: No Jails/Bail,,,,,,,,
305b13358d71ec6d3a3c05edaf280da7.jpg, Art: miscellaneous (11)  , Slogans: No Jails/Bail,,,,,,,,,,,,
675bd7f23f53b945c6c84b1e2fb80875.jpg, Art: miscellaneous (11)  , Slogans: BLM,,,,,,,,,,,,
701cfc51-1660-69bd-673e-3744597bc68b.jpg, Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Community: miscellaneous (3)  , Elements: Earth  , Elements: Earth: Growth  , Environment  , RJ/TJ,,,,,,,
811ad12b6be54606f599375200e207c5.jpg,,,,,,,,,,,,,,
1613f10e293fe559b64b1a17bf2c66ed.jpg, Affect: Humor  , Elements: Fire  , Elements: miscellaneous (8),,,,,,,,,,,
6723BCC6-03A9-42A4-815E-B83D7700655F.jpg, Art: miscellaneous (11)  , Elements: Earth  , Elements: miscellaneous (8)  , Environment  , Violence: Police Violence,,,,,,,,,
57562d6590ccf.image.jpg, Protests/Marches: miscellaneous  , Slogans: miscellaneous (7)  , Slogans: No Jails/Bail,,,,,,,,,,,
1450281_10152844321816067_5340221221876872662_n.png, Slogans: BLM,,,,,,,,,,,,,
1862773.jpg, Art: Graffiti  , Art: miscellaneous (11)  , Carceral Imagery: Handcuffs  , Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery,,,,,,,,,
10557465_10100594727782554_703201934069631975_n.jpg, Protests/Marches: miscellaneous,,,,,,,,,,,,,
15095714_128435377638388_9032851844592186593_n.jpg, Protests/Marches: miscellaneous  , Violence: Police Violence,,,,,,,,,,,,
16299912_10208380485538919_68596003381283660_o.jpg, Art: miscellaneous (11)  , Carceral Imagery: Flags,,,,,,,,,,,,
17523703_1562164873797232_1786318419946521190_n.png, Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: Black Mamas Bailout  , Community: Organizations: SONG  , Events,,,,,,,,,
20157935_123451121603571_3790590196254732730_o.png, Carceral Imagery: Police Imagery  , Carceral Imagery: Police Imagery : Car  , Community: Organizations: MPD150  , Geography: Minneapolis,,,,,,,,,,
20915160_10155604865643917_2944570932758841001_n.jpg,,,,,,,,,,,,,,
20988269_10155656899544154_8568366322668692957_o.jpg, Community: miscellaneous (3)  , Community: Safety  , World-building: Peace,,,,,,,,,,,
20988457_10155656900374154_9079338869930783160_o.jpg, Community: miscellaneous (3)  , Community: Safety  , World-building: Peace,,,,,,,,,,,
20988950_10155656899304154_4165892685622015624_o.jpg, Apparel/Embodiment  , Community: Safety,,,,,,,,,,,,
20988952_10155656899379154_8712191959992901835_o.jpg, Community: Safety,,,,,,,,,,,,,
20989004_10155656899444154_5192226596542134691_o.jpg, Community: Safety,,,,,,,,,,,,,
20989209_10155656899504154_4262846359141496824_o.jpg, Community: Safety,,,,,,,,,,,,,
21013794_10155656899654154_3716901601124045028_o.jpg, Community: Safety,,,,,,,,,,,,,
21013802_10155656899974154_558493424395623859_o.jpg, Community: Safety,,,,,,,,,,,,,
21014169_10155656899699154_292507958341384080_o.jpg, Community: Safety,,,,,,,,,,,,,
21016064_10155656900234154_4927524645442772588_o.jpg, Community: Safety,,,,,,,,,,,,,
21055098_10155656900514154_6264587115919576009_o.jpg, Community: Safety,,,,,,,,,,,,,
21055218_10155656900429154_8020642038246592730_o.jpg, Community: Safety,,,,,,,,,,,,,
21055271_10155656900119154_8362652148130096692_o.jpg, Community: Safety,,,,,,,,,,,,,
21055282_10155656899264154_326098513768653043_o.jpg, Community: Safety  , World-building: Peace,,,,,,,,,,,,
21055855_10155656899899154_3328908644693723325_o.jpg, Community: Safety,,,,,,,,,,,,,
21055967_10155656900179154_6323737323465866187_o.jpg,,,,,,,,,,,,,,
21082841_10155656900794154_297343284159297245_o.jpg, Community: Safety,,,,,,,,,,,,,
21082999_10155656899794154_8370589562484819865_o.jpg, Community: Safety,,,,,,,,,,,,,
21083539_10155656900044154_7898522071807934572_o.jpg, Community: Safety,,,,,,,,,,,,,
21106528_1739888376024880_77341338984293277_n.jpg, Community: Organizations: SONG  , Slogans: miscellaneous (7)  , Slogans: No Jails/Bail,,,,,,,,,,,
21192405_1738946352785749_8765819602620823044_n.jpg, Carceral Imagery: miscellaneous (5)  , Carceral Imagery: Prison Imagery  , Carceral Imagery: Prison Imagery: Bars  , Community: Organizations  , Community: Organizations: SONG  , Events,,,,,,,,
21686411_10155792312481934_6475838725856014538_n.jpg, Art: miscellaneous (11)  , Carceral Imagery: Handcuffs  , Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: SONG,,,,,,,,,
21686441_10155792312611934_9028274803406497006_n.jpg, Art: miscellaneous (11)  , Community: miscellaneous (3)  , Community: Organizations  , Community: Organizations: SONG,,,,,,,,,,
21751568_139346660014017_8521113905881627983_n.jpg,,,,,,,,,,,,,,
